FID,IDtramMucN,tenTram,gio,ngay,toaDoX,toaDoY,mucNuoc,doCaoDinhT,doCaoChanT,baoDongI,baoDongII,baoDongIII,maXa,maHuyen,ghiChu,kinhDo,viDo,day,month,year
130,MN131,Phú An, ,2008-06-10,0,0,0,1.06,-1.88,0,0,0,26740,760,Tổng hợp từ số liệu CCTL (muc nuoc 2008-2022),106.7077778,10.77861111,10,6,2008
131,MN132,Phú An, ,2008-06-11,0,0,0,1.04,-1.64,0,0,0,26740,760,Tổng hợp từ số liệu CCTL (muc nuoc 2008-2022),106.7077778,10.77861111,11,6,2008
132,MN133,Phú An, ,2008-06-12,0,0,0,0.93,-1.24,0,0,0,26740,760,Tổng hợp từ số liệu CCTL (muc nuoc 2008-2022),106.7077778,10.77861111,12,6,2008
133,MN134,Phú An, ,2008-06-13,0,0,0,0.81,-0.87,0,0,0,26740,760,Tổng hợp từ số liệu CCTL (muc nuoc 2008-2022),106.7077778,10.77861111,13,6,2008
134,MN135,Phú An, ,2008-06-14,0,0,0,0.8,-1.63,0,0,0,26740,760,Tổng hợp từ số liệu CCTL (muc nuoc 2008-2022),106.7077778,10.77861111,14,6,2008
135,MN136,Phú An, ,2008-06-15,0,0,0,0.68,-1.94,0,0,0,26740,760,Tổng hợp từ số liệu CCTL (muc nuoc 2008-2022),106.7077778,10.77861111,15,6,2008
136,MN137,Phú An, ,2008-06-16,0,0,0,0.75,-2.1,0,0,0,26740,760,Tổng hợp từ số liệu CCTL (muc nuoc 2008-2022),106.7077778,10.77861111,16,6,2008
137,MN138,Phú An, ,2008-06-17,0,0,0,0.8,-2.2,0,0,0,26740,760,Tổng hợp từ số liệu CCTL (muc nuoc 2008-2022),106.7077778,10.77861111,17,6,2008
138,MN139,Phú An, ,2008-06-18,0,0,0,0.86,-2.18,0,0,0,26740,760,Tổng hợp từ số liệu CCTL (muc nuoc 2008-2022),106.7077778,10.77861111,18,6,2008
139,MN140,Phú An, ,2008-06-19,0,0,0,0.86,-2.18,0,0,0,26740,760,Tổng hợp từ số liệu CCTL (muc nuoc 2008-2022),106.7077778,10.77861111,19,6,2008
